x,towns,lon,lat
55,"Atkinson, New Hampshire",-71.1470037,42.8384221
56,"Attleborough, Massachusetts",-71.354621,41.897943
57,"Auburn, New York",-76.5660529,42.9317335
58,"Augusta, Maine",-69.7794897,44.3106241
59,"Augusta, Massachusetts",-71.368623,42.630938
60,"Augusta, New York",-75.5012871,42.9747916
61,"Aurelius, New York",-76.7105632,42.9188489
62,"Aureluis, New York",-76.7105632,42.9188489
63,"Avon, Maine",-70.2711766,44.8061682
64,"Avon, Massachusetts",-71.0411582,42.1306554
65,"Baelstown, New York",-74.0059413,40.7127837
66,"Bakersfield, Vermont",-72.8029085,44.7819927
67,"Bakerston, Massachusetts",-71.3824374,42.4072107
68,"Bakerstown, Massachusetts",-71.3824374,42.4072107
69,"Baldwin, Maine",-70.7359395,43.8182922
70,"Baldwin, Massachusetts",-73.6433687,40.6103739
71,"Ballston, Massachusetts",-73.874026,42.855483
72,"Ballston, New York",-73.8654295,42.9653961
73,"Ballstown, Massachusetts",-73.874026,42.855483
74,"Ballstown, New York",-73.8654295,42.9653961
75,"Balltown, Massachusetts",-71.3824374,42.4072107
76,"Baltimore, Vermont",-72.5724379,43.3603629
77,"Bangor, Maine",-68.7778138,44.8011821
78,"Bangor, Massachusetts",-71.7647071,42.2526421
79,"Bangor, New York",-74.3973963,44.8122731
80,"Barkhamstead, Connecticut",-72.9139904,41.9292629
81,"Barkman Town, New York",-74.0059413,40.7127837
82,"Barnard, Vermont",-72.6189876,43.728679
83,"Barnardston, Massachusetts",-72.5483277,42.6710048
84,"Barnet, Vermont",-72.0493779,44.2968323
85,"Barnstable, Massachusetts",-70.3002024,41.7003208
86,"Barnstead, New Hampshire",-71.2782381,43.3389194
87,"Barre, Massachusetts",-72.1051002,42.4229047
88,"Barre, Vermont",-72.5020494,44.1970055
89,"Barrington, New Hampshire",-71.0470077,43.2228599
90,"Barrington, Rhode Island",-71.308609,41.7406798
91,"Barton, Vermont",-72.176258,44.7480805
92,"Batavia, New York",-78.1875167,42.9981156
93,"Bath, Maine",-69.8206023,43.9106353
94,"Bath, Massachusetts",-69.8206023,43.9106353
95,"Bath, New York",-77.3177577,42.3370164
96,"Beaconfield, Massachusetts",-71.140823,42.335846
97,"Becket, Massachusetts",-73.0829366,42.3319904
98,"Beckman, New York",-79.5716425,42.3197621
99,"Beckmantown, New York",-73.4920802,44.7708742
100,"Bedford, Massachusetts",-71.2760089,42.4906231
101,"Bedford, New York",-73.6437397,41.204262
102,"Beekman, New York",-73.7129076,41.6109269
103,"Beekmantown, New York",-73.4920802,44.7708742
104,"Belchertown, Massachusetts",-72.4008884,42.2770346
105,"Belfast, Maine",-69.0064234,44.4259092
106,"Belfast, Massachusetts",-71.00822,42.54648
107,"Belgrade, Maine",-69.8321004,44.4466514
108,"Belgrade, Massachusetts",-71.1397695,42.2861427
109,"Bellingham, Massachusetts",-71.4745881,42.0867608
110,"Belmont, Maine",-69.111907,44.3776275
111,"Belmont, Massachusetts",-71.1776114,42.3956405
112,"Belvidere, Vermont",-72.6986673,44.7492093
113,"Bengal, New York",-77.5622209,43.142
114,"Bennington, Vermont",-73.1967741,42.8781345
115,"Benson, Vermont",-73.3001233,43.7099497
116,"Berkeley, Massachusetts",-71.0828222,41.8459347
117,"Berkley, Massachusetts",-71.0828222,41.8459347
118,"Berkshire, New York",-76.1865964,42.3042402
119,"Berkshire, Vermont",-72.7754147,44.9717124
120,"Berlin, Connecticut",-72.7456519,41.621488
121,"Berlin, Maine",-70.6254973,44.8088032
122,"Berlin, Massachusetts",-71.6370121,42.3812039
123,"Berlin, New York",-73.3720549,42.6931351
124,"Berlin, Vermont",-72.5861615,44.2152614
125,"Bern, New York",-74.1334647,42.6253546
126,"Bernardston, Massachusetts",-72.5483277,42.6710048
127,"Berne, New York",-74.1334647,42.6253546
128,"Berwick, Maine",-70.8635506,43.2683199
129,"Berwick, Massachusetts",-71.296507,41.947039
130,"Bethel, Maine",-70.7898806,44.4044586
131,"Bethel, Massachusetts",-70.7740375,41.7799521
132,"Bethel, New York",-74.8719284,41.6837659
133,"Bethel, Vermont",-72.633995,43.8332779
134,"Bethleham, New York",-73.8183804,42.5778541
135,"Bethlehem, Connecticut",-73.2057595,41.640378
136,"Bethlehem, Massachusetts",-73.0919689,42.1930224
137,"Bethlehem, New York",-73.8183804,42.5778541
138,"Beverly, Massachusetts",-70.880049,42.5584283
139,"Biddeford, Maine",-70.4533844,43.4925843
140,"Biddeford, Massachusetts",-70.392127,43.5019408
141,"Billerica, Massachusetts",-71.2689461,42.5584218
142,"Billingham, Massachusetts",-71.4745881,42.0867608
143,"Billymead, Vermont",-72.6096247,43.0887649
144,"Bingham, Maine",-69.8823059,45.0586793
145,"Bingham, Massachusetts",-71.1260733,42.3818111
146,"Blakesburg, Maine",-69.4454689,45.253783
147,"Blandford, Massachusetts",-72.9273224,42.1806463
148,"Blanford, Massachusetts",-72.9273224,42.1806463
149,"Blenheim, New York",-74.4760088,42.4794352
150,"Bloomfield, Maine",-67.7825926,46.3176526
151,"Bloomfield, Massachusetts",-72.7300945,41.826488
152,"Bloomfield, New York",-77.4214278,42.8972624
153,"Blooming Grove, New York",-74.2047875,41.4227446
154,"Bloomingrove, New York",-73.6869697,42.6709854
155,"Blue Hill, Massachusetts",-73.2966815,42.1989991
156,"Bluehill, Maine",-68.5866904,44.4139662
157,"Board Eddy, Maine",-69.206363,45.133263
158,"Bolton, Connecticut",-72.4334173,41.7689878
159,"Bolton, Massachusetts",-71.6078449,42.4334258
160,"Bolton, New York",-73.6771662,43.5788608
161,"Bolton, Vermont",-72.8787625,44.3726476
162,"Boobartown, Maine",-69.4454689,45.253783
163,"Boonville, New York",-75.3365607,43.4836801
164,"Booth Bay, Maine",-69.6337364,43.8762865
165,"Boothbay, Maine",-69.6337364,43.8762865
166,"Boothbay, Massachusetts",-69.6501281,43.838013
167,"Boscawen, New Hampshire",-71.636864,43.3243931
168,"Boston, Massachusetts",-71.0588801,42.3600825
169,"Bowdoin, Maine",-69.9696243,44.0495825
170,"Bowdoin, Massachusetts",-71.062037,42.361365
171,"Bowdoinham, Maine",-69.8968927,44.0091821
172,"Bowdoinham, Massachusetts",-71.3824374,42.4072107
173,"Boxborough, Massachusetts",-71.5167139,42.4834197
174,"Boxford, Massachusetts",-70.996726,42.6611604
175,"Boylston, Massachusetts",-71.6908142,42.3889953
176,"Bozra, Connecticut",-72.1635959,41.5604427
177,"Bradford, Massachusetts",-71.0758905,42.7695348
178,"Bradford, Vermont",-72.1289793,43.9925666
179,"Braintree, Massachusetts",-71.0040013,42.2079017
180,"Braintree, Vermont",-72.7046487,43.9621778
181,"Brandon, Vermont",-73.0876119,43.7981195
182,"Branford, Connecticut",-72.8141185,41.2799027
183,"Brattleboro, Vermont",-72.5578678,42.8509152
184,"Brattleborough, Vermont",-72.5578678,42.8509152
185,"Brentwood, New Hampshire",-71.0735503,42.9780248
186,"Brewer, Maine",-68.7614246,44.7967378
187,"Brewer, Massachusetts",-71.6612731,42.3348549
188,"Brewster, Massachusetts",-70.0827905,41.7600902
189,"Bridgeport, Connecticut",-73.1951767,41.1865478
190,"Bridgeton, Maine",-70.7128685,44.0548021
191,"Bridgeton, Massachusetts",-70.7128685,44.0548021
192,"Bridgetown, Massachusetts",-70.7128685,44.0548021
193,"Bridgewater, Massachusetts",-70.9750541,41.9903519
194,"Bridgewater, New Hampshire",-71.7364678,43.6384067
195,"Bridgewater, New York",-75.2509971,42.8792376
196,"Bridgewater, Vermont",-72.6250967,43.588125
197,"Bridgton, Maine",-70.7128685,44.0548021
198,"Bridgton, Massachusetts",-71.5517084,42.2568745
199,"Bridport, Vermont",-73.351164,43.9873736
200,"Brighton, Massachusetts",-71.1626756,42.3463503
201,"Brighton, New York",-77.5734048,43.1222716
202,"Brimfield, Massachusetts",-72.2005059,42.1225482
203,"Bristol, Connecticut",-72.9492703,41.6717648
204,"Bristol, Maine",-69.4954131,43.9248053
205,"Bristol, Massachusetts",-71.1448516,41.7938406
206,"Bristol, New York",-77.424156,42.8453424
207,"Bristol, Rhode Island",-71.2662025,41.6771101
208,"Bristol, Vermont",-73.0790076,44.1333912
209,"Briston, New York",-77.424156,42.8453424
210,"Broadalban, New York",-74.1965206,43.0586846
211,"Broadalbin, New York",-74.1965206,43.0586846
212,"Broadalkin, New York",-74.1965206,43.0586846
213,"Brook Haven, New York",-72.9153827,40.7792653
214,"Brookesville, Maine",-68.6847872,44.3469906
215,"Brookfield, Connecticut",-73.4095652,41.4825947
216,"Brookfield, Massachusetts",-72.1022991,42.2139817
217,"Brookfield, New York",-75.3176677,42.8128488
218,"Brookfield, Vermont",-72.6034385,44.0422861
219,"Brookhaven, New York",-72.9153827,40.7792653
220,"Brookline, Massachusetts",-71.1211635,42.3317642
221,"Brookline, Vermont",-72.6014802,43.0317464
222,"Brooklyn, Connecticut",-71.9497216,41.7881236
223,"Brooklyn, New York",-73.9441579,40.6781784
224,"Brooks, Maine",-69.120873,44.5503501
225,"Brooks, Massachusetts",-70.8393556,42.551381
226,"Brooksfield, Massachusetts",-72.1022991,42.2139817
227,"Brooksville, Maine",-68.6847872,44.3469906
228,"Brooksville, Massachusetts",-71.3824374,42.4072107
229,"Broome, New York",-75.8533954,42.1791865
230,"Browington, Vermont",-72.1348097,44.8266615
231,"Brownfield, Maine",-70.9086768,43.9381275
232,"Brownfield, Massachusetts",-71.0112479,41.9684386
233,"Brownington, Vermont",-72.1348097,44.8266615
234,"Brownsville, New York",-73.9095279,40.66308
235,"Brownville, Maine",-69.03339,45.3070685
236,"Brownville, New York",-75.9840923,44.0070026
237,"Brumley, Vermont",-72.8978781,43.2297974
238,"Brunswick, Maine",-69.9669961,43.9140162
239,"Brunswick, Massachusetts",-69.9619281,43.9096758
240,"Brunswick, New York",-73.5615043,42.7359115
241,"Brunswick, Vermont",-71.6749551,44.7281752
242,"Brutus, New York",-76.5257007,43.0498095
243,"Buckfield, Maine",-70.3653359,44.2895134
244,"Buckfield, Massachusetts",-71.3824374,42.4072107
245,"Buckland, Massachusetts",-72.7917601,42.592307
246,"Bucksport, Maine",-68.7956215,44.5736942
247,"Bucksport, Massachusetts",-71.3824374,42.4072107
248,"Buckston, Massachusetts",-73.216972,42.713516
249,"Buckstown, Massachusetts",-71.3824374,42.4072107
250,"Buffalo, New York",-78.8783689,42.8864468
251,"Burke, Vermont",-71.9368346,44.618233
252,"Burlingnton, New York",-75.1254387,42.7228512
253,"Burlington, Connecticut",-72.9648388,41.7691235
254,"Burlington, Massachusetts",-71.1956205,42.5047161
255,"Burlington, New York",-75.1254387,42.7228512
256,"Burlington, Vermont",-73.212072,44.4758825
257,"Burnham, Maine",-69.4292308,44.6927723
258,"Burrillville, Rhode Island",-71.6847247,41.9661165
259,"Bushwick, New York",-73.9212858,40.6944282
260,"Bushwyck, New York",-73.9212858,40.6944282
261,"Buthwick, New York",-73.9212858,40.6944282
262,"Butterfield, Massachusetts",-72.310103,42.587528
263,"Butternut, New York",-75.30685,42.377228
264,"Butternuts, New York",-75.3178952,42.4773619
265,"Buxton, Maine",-70.5189422,43.6378583
266,"Buxton, Massachusetts",-70.9931595,42.5681843
267,"Cabot, Vermont",-72.3123248,44.4014456
268,"Cairo, New York",-73.9984659,42.2989749
269,"Calais, Maine",-67.2786038,45.1889633
270,"Calais, Massachusetts",-71.4854272,42.7444057
271,"Calais, Vermont",-72.4663426,44.363296
272,"Caledonia, New York",-77.852785,42.9731175
273,"Cambden, Massachusetts",-71.0819654,42.3383923
274,"Cambria, New York",-78.8156113,43.1848992
275,"Cambridge, Massachusetts",-71.1097335,42.3736158
276,"Cambridge, New York",-73.3812231,43.0281329
277,"Cambridge, Vermont",-72.8762772,44.6447724
278,"Camden, Maine",-69.0647838,44.2097928
279,"Camden, Massachusetts",-69.0647838,44.2097928
280,"Camden, New York",-75.747964,43.3345138
281,"Camilius, New York",-76.3040965,43.039233
282,"Camillus, New York",-76.3040965,43.039233
283,"Camp, New York",-73.6978983,42.3953617
284,"Canaan, Connecticut",-73.3001233,41.9640877
285,"Canaan, Maine",-69.5614376,44.7617295
286,"Canaan, Massachusetts",-73.3001233,41.9640877
287,"Canaan, New York",-73.447175,42.4116592
288,"Canaan, Vermont",-71.569735,44.9892957
289,"Canadaigua, New York",-77.2816984,42.887535
290,"Canadaque, New York",-74.0059413,40.7127837
291,"Canaedea, New York",-78.1536209,42.3864542
292,"Canaedes, New York",-74.0059413,40.7127837
293,"Canajoharie, New York",-74.5718073,42.9056288
294,"Canajoharry, New York",-74.5718073,42.9056288
295,"Canajohary, New York",-74.5718073,42.9056288
296,"Canandaigua, New York",-77.2816984,42.887535
297,"Canandaiqua, New York",-77.2816984,42.887535
298,"Canandarqua, New York",-77.2816984,42.887535
299,"Canesteo, New York",-77.6058225,42.2703487
300,"Canisteo, New York",-77.6058225,42.2703487
301,"Cannajoharie, New York",-74.5718073,42.9056288
302,"Canojoharie, New York",-74.5718073,42.9056288
303,"Canojohary, New York",-74.5718073,42.9056288
304,"Canterbury, Connecticut",-71.9709075,41.6984319
305,"Canton, Connecticut",-72.8956177,41.8247572
306,"Canton, Maine",-70.3153378,44.4406212
307,"Canton, Massachusetts",-71.1447732,42.1584324
308,"Canton, New York",-75.1690942,44.5956163
309,"Cape Elisabeth, Massachusetts",-70.1811676,43.6615323
310,"Cape Elizabeth, Maine",-70.2000467,43.563696
311,"Cape Elizabeth, Massachusetts",-70.1811676,43.6615323
312,"Carlisle, Massachusetts",-71.3495046,42.5292597
313,"Carlisle, New York",-74.4456909,42.7570191
314,"Carmel, Maine",-69.0511537,44.7975688
315,"Carmel, Massachusetts",-70.8439595,41.9202466
316,"Carmel, New York",-73.6801297,41.4300937
317,"Carver, Massachusetts",-70.7625376,41.8834363
318,"Casanova, New York",-73.8890878,40.8097618
319,"Casenovia, New York",-75.8526915,42.9300668
320,"Cassinovia, New York",-75.8526915,42.9300668
321,"Castine, Maine",-68.7989582,44.3888609
322,"Castine, Massachusetts",-71.4059197,41.9185455
323,"Castle Town, New York",-73.7742219,41.1556006
324,"Castleton, New York",-73.179832,43.6106223
325,"Castleton, Vermont",-73.179832,43.6106223
326,"Castletown, New York",-73.7742219,41.1556006
327,"Catham, New York",-73.5948391,42.3642516
328,"Catharine's Town, New York",-76.84524,42.3473
329,"Catharines, New York",-73.9555329,41.0571245
330,"Catherine, New York",-73.9969256,40.7120794
331,"Catherines, New York",-73.459315,44.685229
332,"Cato, New York",-76.5729987,43.1681225
333,"Catskill, New York",-73.8645734,42.2173102
334,"Catts-Kill, New York",-73.8645734,42.2173102
335,"Cattskill, New York",-73.8645734,42.2173102
336,"Caughnawaga, New York",-74.3679112,42.9569124
337,"Cavendish, Vermont",-72.5914616,43.4145061
338,"Cazanovia, New York",-75.8526915,42.9300668
339,"Cazenova, New York",-75.8526915,42.9300668
340,"Cazenovia, New York",-75.8526915,42.9300668
341,"Chaarleton, New York",-73.9690142,42.9334089
342,"Champien, New York",-75.6901951,43.9622893
343,"Champion, New York",-75.6901951,43.9622893
344,"Champlaign, New York",-73.4465251,44.9864273
345,"Champlain, New York",-73.4465251,44.9864273
346,"Champlin, New York",-73.4465251,44.9864273
347,"Charlemont, Massachusetts",-72.8698183,42.627862
348,"Charleston, New York",-74.341244,42.8459075
349,"Charlestown, Massachusetts",-71.0602131,42.3782065
350,"Charlestown, New York",-71.6418744,41.3832162
351,"Charlestown, Rhode Island",-71.6418744,41.3832162
352,"Charleton, New York",-73.9690142,42.9334089
353,"Charlotte, Vermont",-73.2609928,44.3098476
354,"Charlston, New York",-74.341244,42.8459075
355,"Charlstown, New York",-71.6418744,41.3832162
356,"Charlton, Massachusetts",-71.970074,42.13565
357,"Charlton, New York",-73.9690142,42.9334089
358,"Chateagay, New York",-74.0796081,44.9264336
359,"Chateaugay, New York",-74.0796081,44.9264336
360,"Chateauguay, New York",-74.1749786,45.0843882
361,"Chatham, Connecticut",-70.006083,41.7268215
362,"Chatham, Massachusetts",-69.9597664,41.6820897
363,"Chatham, New York",-73.5948391,42.3642516
364,"Chattagua, New York",-79.4668445,42.209774
365,"Chattaguay, New York",-74.0796081,44.9264336
366,"Chautaugue, New York",-79.4668445,42.209774
367,"Chazy, New York",-73.4360334,44.8895329
368,"Cheesecocks, New York",-74.1900385,41.3169326
369,"Chelmsford, Massachusetts",-71.3672838,42.5998139
370,"Chelsea, Massachusetts",-71.0328284,42.3917638
371,"Chelsea, Vermont",-72.4475994,43.989788
372,"Chemong, New York",-73.9436609,41.0950998
373,"Chemung, New York",-76.6238369,42.0084073
374,"Chemungo, New York",-76.6238369,42.0084073
375,"Chenango, New York",-75.6208088,42.4972314
376,"Cheningo, New York",-75.6208088,42.4972314
377,"Cherry Valley, New York",-74.7532018,42.7956294
378,"Cherryfield, Maine",-67.9258366,44.6072991
379,"Cherryfield, Massachusetts",-71.529039,42.7268796
380,"Cheshire, Connecticut",-72.9106202,41.5083668
381,"Cheshire, Massachusetts",-73.162881,42.5620278
382,"Chesire, Massachusetts",-73.162881,42.5620278
383,"Chester, Massachusetts",-72.978712,42.2792551
384,"Chester, New Hampshire",-71.2572846,42.9567525
385,"Chester, New York",-74.2712613,41.3625937
386,"Chester, Vermont",-72.5951082,43.2628476
387,"Chesterfield, Massachusetts",-72.8398172,42.3917541
388,"Chesterfield, New York",-73.4630156,44.4473259
389,"Chesterville, Maine",-70.0861692,44.5511745
390,"Chesterville, Massachusetts",-71.3824374,42.4072107
391,"Chichester, New Hampshire",-71.3997909,43.2492477
392,"Chile, New York",-77.7680952,43.0765843
393,"Chili, New York",-77.7680952,43.0765843
394,"Chilmark, Massachusetts",-70.7447501,41.3431688
395,"China, Maine",-69.5172641,44.4786791
396,"China, Massachusetts",-71.0598646,42.3512662
397,"Chittenden, Vermont",-72.9428417,43.7271064
398,"Chittendon, Vermont",-72.9428417,43.7271064
399,"Cicero, New York",-76.1141646,43.1763158
400,"Cincinnatus, New York",-75.8957534,42.5422923
401,"Claredon, Vermont",-72.9696779,43.5478671
402,"Claremont, New York",-73.9036487,40.840047
403,"Clarence, New York",-78.5919709,42.9767255
404,"Clarendon, Vermont",-72.9696779,43.5478671
405,"Clark's Town, New York",-73.959494,41.1259715
406,"Clarkestown, New York",-73.959494,41.1259715
407,"Clarks Town, New York",-73.959494,41.1259715
408,"Clarksburg, Massachusetts",-73.092685,42.7170314
409,"Clarksburgh, Massachusetts",-73.092685,42.7170314
410,"Clarkson, New York",-77.927621,43.2331655
411,"Clarkstown, New York",-73.959494,41.1259715
412,"Clavarack, New York",-73.7351586,42.223403
413,"Claverack, New York",-73.7351586,42.223403
414,"Claverick, New York",-73.7351586,42.223403
415,"Clerko Town, New York",-74.003818,40.712938
416,"Clermont, New York",-73.8270746,42.0850903
417,"Clinton, Maine",-69.5031267,44.637828
418,"Clinton, Massachusetts",-71.6829081,42.4167635
419,"Clinton, New York",-75.3785034,43.0484029
420,"Cllinton, New York",-75.3785034,43.0484029
421,"Cobelskill, New York",-74.4854172,42.677853
422,"Coblekill, New York",-74.4854172,42.677853
423,"Cobleskill, New York",-74.4854172,42.677853
424,"Cobus Kill, New York",-74.0059413,40.7127837
425,"Cocksakie, New York",-73.8029028,42.3509179
426,"Cocsacke, New York",-73.8029028,42.3509179
427,"Coeymans, New York",-73.7923456,42.4739705
428,"Cohasset, Massachusetts",-70.8036544,42.2417675
429,"Colbrook, Connecticut",-73.0956765,41.9914071
430,"Colburnton, Massachusetts",-71.3824374,42.4072107
431,"Colchester, Connecticut",-72.3320051,41.5756728
432,"Colchester, New York",-75.077389,42.1603635
433,"Colchester, Vermont",-73.1479068,44.5439375
434,"Colebrook, Connecticut",-73.0956765,41.9914071
435,"Colerain, Massachusetts",-71.1364054,42.357756
436,"Colonie, New York",-73.8334554,42.7178558
437,"Colrain, Massachusetts",-72.6967587,42.6731396
438,"Columbia, Connecticut",-72.3011917,41.7020432
439,"Columbia, Maine",-67.8039998,44.669418
440,"Columbia, Massachusetts",-71.757887,42.527133
441,"Columbia, New York",-73.5594128,42.3678759
442,"Columbus, New York",-75.3726723,42.6839611
443,"Conajoharie, New York",-74.5718073,42.9056288
444,"Concord, Maine",-69.84093,45.0950606
445,"Concord, Massachusetts",-71.3489484,42.4603719
446,"Concord, New Hampshire",-71.5375718,43.2081366
447,"Concord, New York",-78.7308615,42.5353392
448,"Concord, Vermont",-71.8369768,44.4209235
449,"Conhocton, New York",-77.5072102,42.5022907
450,"Conquest, New York",-76.6480028,43.1211773
451,"Constable, New York",-74.2971311,44.9292125
452,"Constantia, New York",-76.0001965,43.2478466
453,"Conway, Massachusetts",-72.6995349,42.5098085
454,"Cooksackie, New York",-73.8029028,42.3509179
455,"Cooper, Maine",-67.4397144,44.959521
456,"Corinna, Maine",-69.2617131,44.921174
457,"Corinna, Massachusetts",-71.3824374,42.4072107
458,"Corinth, Maine",-68.9991802,44.9861321
459,"Corinth, Massachusetts",-71.1297722,42.286178
460,"Corinth, New York",-73.8323446,43.2445168
461,"Corinth, Vermont",-72.2797442,44.0275697
462,"Cornish, Maine",-70.8011731,43.8047977
463,"Cornish, Massachusetts",-71.1596225,42.7212781
464,"Cornville, Maine",-69.6731067,44.8367272
465,"Cornville, Massachusetts",-71.3824374,42.4072107
466,"Cornwall, Connecticut",-73.3292848,41.8437058
467,"Cornwall, New York",-74.0353681,41.4343383
468,"Cornwall, Vermont",-73.2103951,43.960893
469,"Cortlandt Town, New York",-73.9001377,41.2548162
470,"Cortlandt, New York",-73.921884,41.246259
471,"Coventry, Connecticut",-72.3393021,41.78468
472,"Coventry, New York",-75.6385205,42.3159098
473,"Coventry, Rhode Island",-71.5642076,41.6885978
474,"Coventry, Vermont",-72.2616067,44.867617
475,"Covert, New York",-76.6835596,42.5753492
476,"Coxackie, New York",-73.8029028,42.3509179
477,"Coxakie, New York",-73.8029028,42.3509179
478,"Coxhall, Massachusetts",-71.3824374,42.4072107
479,"Coxsackie, New York",-73.8029028,42.3509179
480,"Craftsbury, Vermont",-72.3726071,44.6367179
481,"Cranston, Rhode Island",-71.4372796,41.7798226
482,"Crown Point, New York",-73.4370667,43.9503352
483,"Crown-Point, New York",-73.4370667,43.9503352
484,"Crownpoint, New York",-78.723147,43.008973
485,"Cumberland, Maine",-70.2585205,43.796573
486,"Cumberland, New York",NA,NA
487,"Cumberland, Rhode Island",-71.4061876,41.9721816
488,"Cummington, Massachusetts",-72.8913714,42.459188
489,"Cushing, Maine",-69.2614502,44.0137798
490,"Cushing, Massachusetts",-72.6438707,42.3199306
491,"Dalton, Massachusetts",-73.1662138,42.4736959
492,"Dana, Massachusetts",-72.2336875,42.4178409
493,"Danbury, Connecticut",-73.4540111,41.394817
494,"Danby, Vermont",-73.0475498,43.3548341
495,"Dansville, New York",-77.696106,42.5608999
496,"Danvers, Massachusetts",-70.932122,42.5750009
497,"Danville, Maine",-70.2656097,44.0222964
498,"Danville, Massachusetts",-71.124504,42.9125877
499,"Danville, New York",-77.67652,42.45075
500,"Danville, Vermont",-72.14009,44.4114954
501,"Dartmouth, Massachusetts",-70.9704787,41.6130323
502,"Davistown, Massachusetts",-71.3824374,42.4072107
503,"De Ruyter, New York",-75.8843616,42.7584005
504,"Dearborn, Maine",-69.21839,45.083469
505,"Dearborn, Massachusetts",-70.987779,42.523649
506,"Dedham, Massachusetts",-71.1676536,42.2436085
507,"Deer Island, Massachusetts",-70.9578261,42.351487
508,"Deer Isle, Maine",-68.6777806,44.2245068
509,"Deer Isle, Massachusetts",-71.3824374,42.4072107
510,"Deer Park, New York",-73.3292857,40.7617653
511,"Deerfield, Massachusetts",-72.6056435,42.5445588
512,"Deerfield, New Hampshire",-71.2164524,43.146194
513,"Deerfield, New York",-75.2187751,43.1195141
514,"Deerpark, New York",-74.663464,41.4591459
515,"DeKalb, New York",-73.9647262,40.6900596
516,"Delhi, New York",-74.9159946,42.2781401
517,"Denmark, Maine",-70.8033966,43.9703491
518,"Denmark, Massachusetts",-70.8033966,43.9703491
519,"Denmark, New York",-75.5824117,43.8997909
520,"Denneysville, Maine",-67.2658303,44.9288949
521,"Dennis, Massachusetts",-70.1939429,41.7353062
522,"Dennisville, Massachusetts",-67.2658303,44.9288949
523,"Dennysville, Maine",-67.2658303,44.9288949
524,"Dennysville, Massachusetts",-67.2658303,44.9288949
525,"Derby, Connecticut",-73.0889973,41.3206523
526,"Derby, Vermont",-72.1345069,44.9639953
527,"Dernyter, New York",-75.8843616,42.7584005
528,"Deruyter, New York",-75.8843616,42.7584005
529,"DeRuyter, New York",-75.8843616,42.7584005
530,"Deweysburgh, Vermont",-72.176369,44.38346
531,"Dexter, Maine",-69.2898156,45.023918
532,"Dexter, Massachusetts",-69.2898156,45.023918
533,"Dickenson, New York",-74.564621,44.7483891
534,"Dickinson, New York",-74.564621,44.7483891
535,"Dighton, Massachusetts",-71.1567344,41.843859
536,"Dixfield, Maine",-70.4563367,44.5313932
537,"Dixfield, Massachusetts",-70.4563367,44.5313932
538,"Dixmont, Maine",-69.1628221,44.6803471
539,"Dixmont, Massachusetts",-69.1628221,44.6803471
